StoryID,First Ending Sent,First Ending Kmeans Distance Metric,Second Ending Sent,Second Ending KMeans Distance Metric,Correct Answer
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,We walked 5 growling dogs at the park across town.,1.7953252833161153,We had a great pizza at Frank Pepe's pizza shop.,1.699087938176811,2
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,Bernice went to Europe for her birthday.,1.3545235260352455,Bernice decided to get an airplane ticket and reserve a room.,1.2734850236899051,2
de06c035-4c96-4ed0-89c2-3ce71e99e9d1,He was surprised but thankful.,1.847284628017364,Jim thought he was crazy and left.,1.6563069835267905,1
f547c9a1-be95-439d-922d-1417d7f6b818,Randy told his friend how relieved he was he found it.,1.72416355737948,Randy saw the house but kept on driving and didn't come back.,1.8595017217398697,1
195a43c7-d43e-48e4-845b-fd6c75609df2,Watching my brother crash was fun.,1.9843684928209324,I felt very badly for my brother.,1.9378808447077784,2
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,Anna felt very fashionable when she left the salon.,1.7894682127935906,Anna really liked her new hairstyle.,1.7629042329572386,1
b8c30925-f572-4ac3-b865-1cba592b6f0c,Sarah was glad they were able to catch up.,1.3669348107985333,Sarah and david went to go get dinner right after that.,1.4250392956741322,1
0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ then began to feel sad.,1.6695978123572437,AJ let out a sigh of relief.,1.6229194396548912,2
fe3caede-4b19-410a-b08f-84d71b18e9f4,Joe was happy the shirt fit.,1.7015124510284372,Joe hated rock music afterwards.,1.807166014409246,1
e689960d-0515-424b-aac3-5d7160ac2577,Priya thought her food was delicious.,1.338445246640016,Priya decided not to eat and left.,1.3835438375992382,1
57d5152a-77db-4156-8330-166edb36b0a2,Karen hated her roommate.,1.8380308774998646,Karen became good friends with her roommate.,1.7994204961293794,2
726a0fc9-8c6f-451e-838b-c48140817dfc,Eventually I healed.,1.7993212554359386,I found I loved being swollen.,1.5868591739086613,1
696b9d6a-40a4-434d-8a01-aec20c4400a3,Don hated elections.,1.7174057283799136,Donald hoped this foolishness won him the election.,1.634048119767513,2
16eeb330-b579-4a0f-a1e6-0b7aad454c54,They were divorced a few months later.,1.7801451348045192,They fell back in love and stayed together forever.,1.7058085753029053,1
ed614284-2364-4b9c-bc02-5e0aad3d8968,Rachel was excited to hear the news.,1.430948571556452,The vet treated her cat's cancer the best they could.,1.4218204443695324,2
87678fdf-ad4e-4ff0-93d0-039fa451b49b,Jim is very upset.,1.391172174602863,Jim was happy to see the officer.,1.3579288459322343,1
33882739-51ca-446f-8bd0-2bbf7cfcba37,"He said I was paranoid, and charged me $100.",1.874379827964183,It turned out I was allergic to avocados.,1.541587718163163,2
3ef66340-b2fd-4c12-bc1c-b28730b571a1,David then uploaded his new video.,1.5410820769716567,David then had his manuscript published.,1.3644540427443894,2
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,Boris realized he was wasting his life.,1.4760290143150783,Boris decided to wear the dress.,1.4727475880888958,1
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,The police officer had to give up his badge and gun.,1.5321239107947433,The police officer eventually got better.,1.655739058846991,2
1ad020f7-a18a-45f9-a112-b9ca83afcad2,"When Nathan returned, he felt very happy for the exercise.",1.4982270824582111,"When Nathan returned, his mom apologized for being so mean.",1.459358698285258,2
31dd2600-d4c3-4f15-a336-cd0c32237d06,Gary's parents were relieved to find him.,1.3692674436563148,Gary's parents were disappointed to find him.,1.3193915970109198,1
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,Timmy was promoted for working so much all the time.,1.5969356906144327,"Timmy then had to find another job,",1.675574872813165,2
a62e9212-e75b-4078-ae68-f56a1164dc70,My time with the minister was very useful.,1.6478543582362002,My favorite card game was poker.,1.6776643842969554,2
67cf2fb0-431a-404d-9c9f-826dd2d3472b,Amber enjoyed a relaxing two hour brunch.,1.4237408290709288,Amber was so hurried she left the list at home.,1.649201552538473,2
dba303f0-ede3-4834-aad4-767eadafa744,She bought a new couch to replace it.,1.7303593100665873,Eve thought the couch was very comfortable.,1.770430316626622,2
7c183d9b-d1fd-414f-8c95-c17132422732,He found a very large spider there.,1.7569740945530397,Jason took a hot shower.,1.8332455849741403,1
5b6f539e-eb73-4ca4-b359-a1f85e96effd,Her boss fired her the next day.,1.7834596661516842,Linda and the coworker ended up being best friends.,1.7495851946228944,2
cb1dd642-75fd-43ae-bb80-d019a2a9cb8e,All of the presents were wrapped and stored for the holidays.,1.4314831481773527,She returned all of the presents for cheaper ones.,1.422014044834396,1
0f797de2-3d82-46d1-a370-c278a36ad785,She was able to get off drugs after some time.,1.6699444668664787,"When she arrived, she did drugs all day.",1.6302937678498237,1
6623b60e-9200-4019-9a95-521adc03524d,He is thrilled about his new responsibilities at work.,1.5582580753147552,He realizes he might have to apply for public assistance.,1.6987455586754598,2
57f0ad88-0dad-4cce-95da-30175ff0ba40,Bobby had a good party.,1.6876905520000047,Bobby was mad at his friends.,1.623202549465092,1
a5ac20db-ed05-49d7-8960-2035a9dce14d,We want to revisit someday.,1.5264638224868063,We all vowed to never go back again.,1.5652249733160406,1
3f191c72-305c-487d-8da0-7335fedc270f,The clothes were filthy and unfolded.,1.0982011174412492,They then put their clothes up neatly.,1.0780655901466039,2
dacd5655-337c-4c89-a87f-edd54067cfb9,Timmy went to the mess hall for breakfast.,1.8846553434380666,Timmy spent all day cleaning so he could watch tv.,1.8188622875148486,2
85cc4bad-5cd3-494f-be90-e3c16e512cab,My daughter was disappointed.,1.5883653512213332,My daughter was excited.,1.4745716331977161,2
7e12768d-0e37-4940-9dcf-186ba3916660,Pam was a lousy hostess.,1.6170989996629355,Pam was a good hostess.,1.7020659962321052,2
d10f40c6-f5f0-4273-82e0-90aa22520588,Ellen liked the negative attention.,1.9401648312932516,Ellen was appalled.,2.0353137268167822,2
322525fb-6970-4c56-89ae-375664d8e320,Jim decided to devise a plan for repayment.,1.8324109992961888,Jim decided to open another credit card.,1.665587650861132,1
9bc05c17-a739-462c-970c-f5279779f3a5,The judges vomited from the taste of the donuts.,1.4858177314333816,Tim won the baking contest.,1.5826157627547917,2
9843660b-4a86-4cae-b6d7-03d73b88426e,Now I don't try to make him wear training pants.,1.6573213422081607,Child protection services removed him from the home.,1.7030064310844422,1
e721d415-d8b9-479f-a476-bc3f3a239140,She went outside to fly a kite.,1.3888691328109681,She was relieved that it didn't hit anything.,1.4090989085367,2
9409bd0a-fbdd-4450-8b41-5aac05fd5c36,It broke and Jill felt dumb for believing the hype.,1.6571474931185661,"The cloth ripped in two, much to Jill's surprise.",1.6421296233925746,1
00d73c9e-6441-4b23-ad78-f33490a6a1ec,Addie was put in jail for her crime.,1.722769906023911,Addie was relieved and took deep breaths to calm herself.,1.6820304356254359,2
a2685475-307b-49a3-85f8-07b32c63e062,The manager hoped Sean would perform badly.,1.6234829863736968,The manager wanted Sean to understand everything.,1.5436527595033502,2
1bfde41c-01ea-4af8-a5c3-706b8af6cec6,Fred cancelled the bet at the end of the month.,1.525077731776889,"Fred ended up winning the bet, and the $100.",1.5730780091877812,2
749b0981-388d-4deb-83d4-b4bc35b4a168,John loved every second of the skydiving trip.,1.43223812015047,"When he woke up, he had already landed.",1.5933650836033477,2
7d9b0578-4621-460a-9d67-9705079b0a1c,Gina hated her grandma.,1.789485782431427,Gina loved her grandma.,1.882112814595589,2
71db6e1d-bcb4-4849-bded-f252a32c927c,She couldn't resist so she bought the antique vase.,1.552909164342554,It was kind of expensive but she decided it was worth it.,1.6988422011120896,2
41548819-7537-4bbe-8c20-ba78feb5fe0d,It had been a very fun day.,1.5695695722570662,Tyler felt like his parents never let him do anything.,1.363409718926869,1
e4443872-3ac9-465e-9d99-88ab9720da81,"After all his practice this week, Jimmy has learned a new trick.",1.5552937021501703,Jimmy has decided to give away his skateboard.,1.607583256129836,1
aa03cc32-e85b-4710-8120-aeaba4af65b0,Maxine doesn't want to go on the date.,1.6813475808370426,Maxine gets laser removal next time.,1.8112868959028248,2
bcde1c24-5e48-4ba9-a8b5-362db0db0129,Ryan loved how his bike looked.,1.7074887957923575,Ryan decided not to ride his bike anymore.,1.5975870829821368,1
107793ec-8721-4897-b0de-17db3578fc10,The sauce burned and stuck to the bottom of the pan.,1.554596151279662,It took forever for the sauce to heat up.,1.6996697273670271,1
0f36f4a6-da40-4c61-a4cc-db237df8f1b6,Nick beat his girlfriend and she gave him the five dollars.,1.5614406381464088,Nick gave up because he didn't care if his girlfriend won.,1.5942190084421746,1
ae91c584-b9d3-4a0e-b166-6928531d1bed,We felt pleased with our performance.,1.6340122107752268,We felt we had performed badly.,1.636168428255981,1
bee259be-fcd9-4043-9047-0e199aaa8214,Michelle gave the cat to her neighbor.,1.4982091679306817,"Michelle named the cat, ""Socks.""",1.6329517808681364,2
45896107-bb21-48b8-845d-619d8c19bc34,Neil decided never to return to Ireland.,1.5390147854842475,Neil enjoyed Ireland.,1.7126690236161928,2
f36a34dc-1b78-4af1-9e48-5ec9d369feb5,Mary was happy to be showing off her dress.,1.415471303967538,Mary was upset that her dress was ruined.,1.4145600951994743,2
49c51e74-be6e-45b9-a223-4c0835ad76c1,Scott gave him a high five.,1.6150437579254837,Scott apprehended the perpetrator.,1.674055507577945,2
f8594fc8-df33-49d7-a5a9-045765ca8eda,Colin stuck to his budget and only drank 2 beers.,1.6296998780924632,Colin drinks beer at the bar all night.,1.7009838268079742,1
ab1265ac-d06e-4bad-ba0e-0219d63d3357,Jordan knew some conversational Spanish by the time he moved.,1.7635356935876003,Jordan didn't like fish tacos at all.,1.7607762637588986,1
c71454d3-16c6-4852-bb0e-1149fd2b0e52,He never worked out again.,1.4127815103010852,He was happy with his decision.,1.5224795767275978,2
d3615153-cfb9-4583-bd93-e1814c250a1c,She finally got her chance to play in the match.,1.38788424916469,She asked the coach to find someone else.,1.6068558074251746,1
1be803ad-225f-4b93-a5ce-3d96deedc495,The doctor told Tim that Emily went for a run.,1.5659282735714442,The doctor told Tim that Ellen was finally pregnant.,1.5782633573806604,2
b64b9a40-4e69-4381-ae49-035edf71a232,David ate a cheeseburger.,1.3868664019756607,David promised to be more careful in the future.,1.5625708502988962,2
e5ce589a-86a4-4f4e-9a51-87220abdf821,Neil played baseball.,1.6793803257101705,Neil played in the competition.,1.6008246251522718,2
e2f74079-bcd6-485a-80c6-24be4fca4ae9,Cam has since decided to insure his belongings.,1.8579523293806075,"Afterwards, Cam was able to sell more books than he ever had.",1.6649797254076353,1
c473c07a-630f-48e2-b6dd-ebb34d815fc2,Rosie's teacher loved the gift.,1.583613205705077,Rosie's teacher gave her detention.,1.5111650489859891,1
8ae17467-e396-4f89-9d2a-eeade4539358,The man is furious.,1.7487157896758516,Ebay is a very reputable company.,1.5129093098974533,1
8e61c1c5-582f-4379-b332-dcb96faf3bf9,"It cost a lot of money, but he got it repaired.",1.7369321990883972,Tom knew it would be expensive to repair his boat.,1.6682004418994087,1
a28a894f-ea54-438a-93c5-cae7e4564ec4,Harry didn't like theme parks.,1.7295020165379356,Harry had a great time at the park.,1.3717040992032254,2
932e37d4-1305-4e54-8fee-ba649e7c7206,My teacher suggested I pursue art school.,1.5968489780274182,The teacher agreed to discuss it with me.,1.750172562816983,2
f935f831-38bc-4b00-83c6-3891a4dacefc,Leah was very happy to hear the news.,1.4728878687749192,The game was canceled.,1.6523773765270655,2
345e1032-0c47-48e6-9968-e04baa479d06,She decided to buy more toothpaste.,1.5838801201578514,She was happy to see her wrinkles were gone.,1.6181096528338494,2
bb5695c6-6c1c-4de6-b56c-6b23077d3df5,"Annoyed, he contacted the retailer to complain about the damage.",1.4302794162086638,Harry spent the evening happily taking pictures.,1.548594634929743,1
6ab897f0-4f61-40f1-afa6-e9485e44316d,Jasper quits his job the next day.,1.4793743601195377,Jasper enjoys cutting dead animals.,1.596086963613097,2
1a2bead1-a985-44e6-966c-44c4a77afe37,I couldn't wait for my friends to leave.,1.7422541546503316,I loved throwing parties.,1.9251615266123763,2
ed448375-accb-4425-b7ed-e5af03f0d477,He finally received a job offer.,1.4732975454692088,Tom was sad about leaving his miserable job.,1.4119686249712446,1
5488ad4e-968e-4113-b3f1-23a27e40e52a,Paul was furious with his mom.,1.6736823301245016,Paul got a job.,1.6326284987223967,2
0aa4d795-2af4-489d-84d2-a3476cfc9019,"Harvey choked, and lost every match he played.",1.7279027002608047,They all sat with their mouths open as Harvey beat them all.,1.728608242726466,2
666d1b41-7e20-41cc-b6a7-5bc3eb9ed7b7,I then realized that I was not good at math.,1.4479555225132148,Then I knew that I was great at math!,1.600425778302832,1
08f3861d-5511-4f65-9611-0c67ec71561c,They bought another red car.,1.41134658887079,My parents bought matching mopeds.,1.266897795217866,1
05f5c44c-6d88-4c50-8c88-d9ad55fbaa8c,She acted like a brat and threw a tantrum.,1.5067652902960853,Gina doesn't care about electronics.,1.5198675582559136,1
e7be4ea9-4bb9-4141-90d5-351d6377c9fc,I realized I needed noise to sleep.,1.3674336408863392,I realized it had only been the wind.,1.2383410349594803,2
8e5c1dce-bed9-4754-9565-89b1d10b1aec,Gina and her mother went immediately.,1.6630195771556942,Gina decided to walk instead.,1.4763513597353954,2
9a37e0a5-a537-4af1-ab7d-c39c440ee8d6,He then went to sleep.,1.8628511300052195,He now loves to go hunting.,2.0199656397907706,2
0e499832-cc4e-459d-a066-de6e73aa77f9,Jay thought Burger King was awesome.,1.829751537281257,He'd dug in the trash for nothing.,1.624864014684548,2
1b99f1e5-e8e4-4ae9-b05b-e5c8324e8768,John was a troubled worker.,1.498155962989422,John was an outstanding worker.,1.6373113264066488,1
66c79a45-25be-4066-9d36-016637bd57c5,Kev was excited to try out his new gun.,1.6904144300195385,Kev decided not to come hunting.,1.6085268885509583,2
598c2da4-91cb-4adb-8d09-0de672cdebe8,Emily decided she didn't want the concert ticket.,1.3312421749316083,This was the best birthday gift Emily had ever had.,1.2873807695429318,2
d46e5bd9-8a43-4670-b8c7-fe56f59cceae,Lina hated donuts.,1.778183983737153,Lina loved her new job.,1.8524191328675699,2
5183072a-7b29-4a2e-80bb-120f3fcd8bda,I was invigorated when I got home.,1.6041771514181722,I was tired when I got home.,1.671668571791652,2
70e3a2c2-6e8a-46cd-9948-2005e1e6bfac,The new forum was theirs to rule.,1.6553233476234612,They returned to the forum later because they liked it so much.,1.6593712632025825,1
f2d60888-a0aa-4da4-b744-57ac10ae6dc2,Donna had a much easier time because Ty was asleep.,1.8014302978508758,Donna wished I would wake up.,1.8974063152142553,1
52255569-a048-4098-b40a-a9a96bbc754f,Gina was angry that she went to the library.,1.59834846635205,Gina felt more calm once she arrived in the library.,1.5632392886586697,2
8585d876-38ad-4846-a5b1-3b8fbd3d8f72,Vivienne soon received her visa in the mail.,1.370530212103155,Vivienne was not granted a visa.,1.369759597233343,2
a7dcd6a0-c9a3-4aa0-b2ed-3e80a03b2dc7,Frank enrolled in a marine biology class.,1.5109126563884263,Frank bought a water gun the next day.,1.4779596026810595,2
1658b490-24a4-4f83-a42b-e6c679d0c2c2,Gina's family was glad that their toothbrushes weren't packed.,1.284637752325217,Gina felt guilty about forgetting everyone's toothbrushes.,1.412046001303553,2
796ab4ea-12d3-489a-b7e8-fce2b430107c,John commented on how badly run he thought the place was.,1.3656668027866223,The manager decided to offer John the job.,1.3135948405501034,2
09609ed5-1852-4e76-af8d-f08de3742d15,Ben made freshly squeezed orange juice from the oranges.,1.328191107934969,Ben sipped his apple juice contently.,1.4931279727910902,1
fa694d55-2291-467e-837e-cee613230e8c,Reg hoped it would never snow again.,1.7187351072942607,Reg hoped he would get another snow day soon.,1.5114756414201964,2
37c168f2-e2cc-4117-879a-abcce85af37f,Caroline refused to open the soda.,1.8346328126242482,Caroline opened the soda and drank it all in one gulp!,1.9497406458919078,2
fb9f8eff-5f05-4cd8-bb99-3ca886845607,Tom got up and went for a swim.,1.343167755927814,Tom enjoyed the roasted marshmallows.,1.274559603904458,2
b0c7b950-cea5-460f-b573-a55e692120bc,He promised to pay her back.,1.5891988455243091,Bob ran away in terror.,1.6248262926389825,1
5df5e38b-ea80-4122-b43e-1cf116a83e6a,John did not have a gun.,1.8619533677267073,John was surprised.,1.9631512684572239,2
ba6d9c84-d0d1-4806-964d-2573c08e67c5,Neil was not interested in Egyptian history.,1.6338216154198195,Neil had an amazing educational and cultural experience.,1.456320811808867,2
98826835-a7e8-4441-b37c-36f2179d7651,John knew his papaya farm needed new capital investment.,1.6554310684616609,"John ate, but told his mom that he never wanted to eat it again.",1.6020385593568827,2
cc2f14bc-8e8d-4c36-9a14-a7e9e89ac52e,All my socks were accounted for.,1.7331237125960823,Eventually it turned up.,1.5973501972312416,2
bb4840dc-d637-4183-809a-567bb67e9935,Alex next ran for a seat on the school board.,1.5622009638146062,Alex resolved to always check his shoelaces before leaving.,1.5679848670821999,2
08e30459-3e8f-43f0-ac30-a4f367168e45,The people watching him congratulated him.,1.5838065715649932,And thus Sal gave up on magic.,1.578924226099648,2
c4d8548b-b1a0-4d5c-8004-bbe77d21b4a4,Javier went to the convenience store after school.,1.644262039789267,Javier began playing handball with them regularly.,1.6833797272626443,2
f3b25856-827a-42ba-8ca1-0426c1b01219,He bought a big package of AA batteries.,1.518422760053661,He bought another remote control car for himself.,1.436049746655168,1
31e7354c-de3a-433b-afcf-fa8885569007,Mim pulled back onto the road and drove faster to make up time.,1.7436231630604637,Eventually it stopped snowing.,1.6281865500325372,2
64abf5b2-354d-405a-a0c1-ba141fba015a,We brought home six bags of items.,1.736658302891331,We went home without buying anything.,1.6938693850134712,2
8cc7c8cf-053b-48e2-8d4d-6f520490e9ac,The swing was pulled around violently in the wind.,1.7575106876193947,Her fear melted away as she swung.,1.6906058198241058,2
393f121a-4cd6-4781-95a3-76f88137c1aa,The Malamute's owner never took him to the slide again.,1.7971926922128552,The Malamute eventually tried to slide down the slide.,1.8837662855655193,2
0fcbf8d2-a63f-4d37-b304-003c10570638,Tim was very happy to be remembered.,1.9825117940701387,Tim was annoyed by the attention.,1.930891086441301,1
9669f392-85d9-45e8-8dc5-2b3d93b897ac,Frankie went to see a movie.,1.7455333882815034,Frankie found another man.,1.6439904571958153,2
538e9d85-3ff1-483d-b8de-0c62348d225b,Nancy caught the pie and began to eat it.,1.572990872309137,Nancy began to cry and felt humiliated.,1.74434066268031,2
1295799e-8cd2-4da6-91cf-7515acbd14bf,He eagerly applied for it and was ultimately hired.,1.750943035679424,So he decided to go home early that day and quit his internship.,1.7821163326412703,1
04e42093-ebd7-4b56-990f-e34f397e13bb,Kevin bought a house.,1.8736927258773903,Kevin used the money that he had saved to buy a sports car.,1.740484664617584,1
78a60b56-2e3a-4fd6-a74f-b5b86f400540,Joe went for a run on the beach.,1.417748131654744,Joe asked the accountant what happened.,1.3476573896369552,2
4a030972-fd37-43e8-b44f-6920cf9355b7,Sven was caught and jailed shortly after.,1.9765212870310802,Sven donated the money to charity.,1.9094623870970608,1
3b754b95-8b0a-4d6c-87f5-158d1de303d9,John eventually beat the cancer.,1.7430740876351694,John hoped he would not get well.,1.87001989725709,1
2f14cad7-8f3a-4a54-b7d8-206c515b780f,He stayed heart attack free for the rest of his life.,1.9104619509326521,Matt celebrated leaving the hospital with a large steak.,1.8410708745312125,1
f9079515-f56d-4090-8b26-0e9d93dcb731,The cats made a mess out of the house!,1.5886788938618046,"Both dogs enjoyed playing together, anyway.",1.7090452140140833,2
98181079-1081-48ba-bb83-031bb0046b92,I had a hard time falling asleep that night.,1.7817615815245689,Overall I was dissatisfied with the night.,2.031435442318184,1
c21420d2-5652-4f20-9e1a-9f86a551e4f2,"Louie walked across the sandy beach, lonely.",1.5554071242108958,The dogs seemed happy to stay together.,1.7046160151340808,2
3c771b38-ee3a-444c-9fc1-36748ff391bc,She started losing weight.,1.5131749962041767,She gained 50 pounds.,1.644781235054944,1
826d3ed1-77eb-401a-a8c3-2770c0523481,I decided to throw the ring away.,1.7518473567868518,It came out sparkling.,1.835418571546503,2
86b42126-6fee-4bb2-94f0-5c8cecd375aa,Gina stopped volunteering because she felt unappreciated.,1.7593500003843072,Gina was so touched she cried when they gave it to her.,1.7643208232272007,2
741833b1-bdf1-4be4-ba01-2a8ca81ae7be,Gina continued to stare.,1.8202043448933845,Gina was disgusted.,2.004526748606606,2
1a61f7f6-0945-4905-aef9-adb2808c22a0,Pamela received a full refund and a free urn for her troubles.,1.5912307829803178,Pamela was happy about her purchase.,1.576777530999571,1
fe12762c-51e5-4bcc-8a08-667ce3304f69,Jane was happy she had to stay and clean the office.,1.5492434312826753,Jane was disappointed she had to stay and clean the office.,1.561323428619532,2
bb63a874-2cf1-4ffc-8f75-b403c0b26be5,We will never rent from that car company again.,1.5473392873675467,We look forward to renting from that same car company again.,1.6229110653760868,1
432c8932-ec99-42bc-82ba-87d4f10ef17f,Frank will save about $25 a week making coffee himself.,1.6533747551767262,Frank switched to tea and donated the coffee maker.,1.7591104269625935,1
befe024d-d480-42dd-9710-7eb1bdb7ff8a,I had to call to find out what was going on.,1.8140148114202548,I was happy with his service.,1.8275069741641579,1
2fcb96c1-3717-46ed-aa94-165151fee791,Dad and I love popcorn.,2.049205304468095,Dad and I hate popcorn.,1.989054080465046,1
aa94f624-fe3c-45c4-96b8-6cf486bd4302,Lou was finally able to lose weight.,1.5613167041445015,Lou decided she had lost enough weight.,1.6204606251866862,1
6f96532b-9bc0-44d0-84fd-6bb7b99d69be,Betsy felt really bad for the rest of the night.,1.7577785982822727,Betsy wore the monogrammed necklace when she turned 14.,1.757554568136094,1
da5ec41e-4fd5-4a1c-b2ad-67fd6c8b1165,"When the time comes for her to sing, Joy faints.",1.4686046986975412,Joy's juggling act delights all.,1.2929136110260127,1
200f7c71-d985-46ca-ae40-4f2d1e34802e,She threw the wig into the trash.,1.4021201550551958,She gave the wig to her sister.,1.3301339913682064,2
217a2486-e392-414e-ba52-3bb13ef79793,I really enjoyed having my party with friends.,1.8317118829081878,I was able to catch the snake and get it out of my house.,1.3243219689590306,2
b9efb3c3-2239-4d6e-8a6d-2092fafe7012,She had the worst nightmare of her life.,1.559295942382359,She fell soundly asleep.,1.5149834660226436,2
8f38419d-c80d-40b0-8770-3a8a86e4a5ad,Jane decided not to participate in psychology experiments anymore.,1.5897104019108927,Jane was finally able to earn extra money.,1.5838009895558518,2
f1076e8c-eb8f-4b71-84b4-3c433b7235a7,"Finally, all of his number were read and Jay had won.",1.6051705513122632,He decided to stop watching and threw his ticket away.,1.615774497717117,1
